"tag","class","text_preview","href"
"div","radio-button-icon  checked","",""
"span","radio-button-label","Precio: menor a mayor",""
"li","radio-button-item","Precio: mayor a menor",""
"a","js-apply-sort-private radio-button ","Precio: mayor a menor",""
"div","radio-button-content","Precio: mayor a menor",""
"span","radio-button-icons-container","",""
"div","radio-button-icon  unchecked","",""
"div","radio-button-icon  checked","",""
"span","radio-button-label","Precio: mayor a menor",""
"li","radio-button-item","A - Z",""
"a","js-apply-sort-private radio-button ","A - Z",""
"div","radio-button-content","A - Z",""
"span","radio-button-icons-container","",""
"div","radio-button-icon  unchecked","",""
"div","radio-button-icon  checked","",""
"span","radio-button-label","A - Z",""
"li","radio-button-item","Z - A",""
"a","js-apply-sort-private radio-button ","Z - A",""
"div","radio-button-content","Z - A",""
"span","radio-button-icons-container","",""
"div","radio-button-icon  unchecked","",""
"div","radio-button-icon  checked","",""
"span","radio-button-label","Z - A",""
"li","radio-button-item","Más nuevo al más viejo",""
"a","js-apply-sort-private radio-button ","Más nuevo al más viejo",""
"div","radio-button-content","Más nuevo al más viejo",""
"span","radio-button-icons-container","",""
"div","radio-button-icon  unchecked","",""
"div","radio-button-icon  checked","",""
"span","radio-button-label","Más nuevo al más viejo",""
"li","radio-button-item","Más viejo al más nuevo",""
"a","js-apply-sort-private radio-button ","Más viejo al más nuevo",""
"div","radio-button-content","Más viejo al más nuevo",""
"span","radio-button-icons-container","",""
"div","radio-button-icon  unchecked","",""
"div","radio-button-icon  checked","",""
"span","radio-button-label","Más viejo al más nuevo",""
"li","radio-button-item","Más vendidos",""
"a","js-apply-sort-private radio-button  selected","Más vendidos",""
"div","radio-button-content","Más vendidos",""
